model,model_type,acc,co3d_alignment,imgnet_alignment,imgnet_acc
efficientvit_b0.r224_in1k,vit,0.7774566474,0.6238806737,1.381708703,71.398
repvgg_b2.rvgg_in1k,cnn,0.8523121387,0.6151116578,1.067428294,78.792
vgg13_bn.tv_in1k,cnn,0.7930635838,0.6142892631,1.22543786,71.588
vgg16_bn.tv_in1k,cnn,0.7973988439,0.6104839655,1.198799819,73.37
efficientnet_es_pruned.in1k,cnn,0.8300578035,0.6070590109,1.211508775,75.006
lcnet_050.ra2_in1k,cnn,0.7352601156,0.6045973562,1.398188448,63.138
vgg11_bn.tv_in1k,cnn,0.7780346821,0.6033659357,1.269192599,70.382
resnet10t.c3_in1k,cnn,0.7702312139,0.6020597409,1.298144206,68.364
repghostnet_200.in1k,cnn,0.837283237,0.6010963247,1.277845386,78.806
mobilenetv3_rw.rmsp_in1k,cnn,0.812716763,0.5995273596,1.250336691,75.62
efficientnet_es.ra_in1k,cnn,0.8514450867,0.5985450398,1.177055697,78.058
repvgg_b1g4.rvgg_in1k,cnn,0.8566473988,0.5960493947,0.9760717253,77.588
vgg19_bn.tv_in1k,cnn,0.7994219653,0.5948326535,1.216791493,74.216
repvgg_a2.rvgg_in1k,cnn,0.8554913295,0.5920206392,1.016090416,76.458
mixnet_l.ft_in1k,cnn,0.8283236994,0.5916506583,1.215673635,78.966
efficientvit_b1.r224_in1k,vit,0.8352601156,0.5915467217,1.212879678,79.252
mobilenetv2_140.ra_in1k,cnn,0.8320809249,0.5907699355,1.178168052,76.516
tf_efficientnet_es.in1k,cnn,0.8341040462,0.5869988123,1.231860036,76.598
repvgg_a0.rvgg_in1k,cnn,0.8173410405,0.5852764084,1.04615502,72.408
repvgg_b1.rvgg_in1k,cnn,0.8540462428,0.5845809556,1.106676075,78.368
rexnet_200.nav_in1k,cnn,0.8708092486,0.5777699324,1.163291554,81.636
rexnet_130.nav_in1k,cnn,0.8479768786,0.5761470036,1.140930874,79.506
tf_efficientnet_b0.in1k,cnn,0.8054913295,0.5730087883,1.255472793,76.53
dla60x_c.in1k,cnn,0.751734104,0.5724187522,1.240620135,67.912
repvgg_b0.rvgg_in1k,cnn,0.8453757225,0.5718952978,0.8957448205,75.144
dla102.in1k,cnn,0.8286127168,0.5642233378,0.8724404261,78.024
dla60_res2next.in1k,cnn,0.8213872832,0.5628809512,0.8114661421,78.44
dla46_c.in1k,cnn,0.7153179191,0.5621830412,1.269640661,64.872
efficientnet_b0.ra_in1k,cnn,0.8274566474,0.5619968519,1.154428019,77.694
repghostnet_100.in1k,cnn,0.8031791908,0.5599934391,1.325499268,74.206
